-29,38,-200,-688,2144,214
70,73,-239,-856,2569,585
115,86,-191,-700,2420,503
167,117,-222,-792,2579,278
206,105,-215,-230,2216,517
236,107,-189,105,1611,414
276,110,-177,12,996,389
266,89,-171,-65,475,189
244,73,-150,78,132,67
253,65,-158,3,26,-26
252,74,-141,71,-217,-9
255,65,-161,72,-427,-14
259,65,-187,102,-823,-130
276,97,-220,110,-1579,-123
247,107,-240,460,-2189,-164
215,84,-249,910,-2692,-238
147,83,-224,633,-2846,-322
83,54,-226,839,-2654,-574
15,48,-194,-75,-2363,-537
-26,2,-169,164,-1867,-459
-108,12,-183,-17,-859,-224
-101,5,-204,-180,-168,-183
-106,18,-230,-174,56,55
-111,6,-219,-65,1,42
-111,11,-213,-74,138,118
-101,3,-211,-96,560,134
-71,6,-181,-240,960,321
-56,17,-199,-230,1559,441
-11,44,-197,-454,1853,751
31,61,-232,-565,2368,667
101,58,-256,-530,2599,595
192,115,-210,-273,2479,591
210,75,-238,-621,2254,107
255,108,-207,-293,1669,218
239,92,-214,-290,1117,98
279,107,-201,112,384,8
207,66,-203,-171,-78,-36
245,88,-167,89,-167,16
225,78,-159,210,-402,78
245,72,-184,225,-608,36
247,75,-230,-39,-1091,-353
259,105,-240,-200,-1864,-242
212,114,-245,513,-2426,-383
159,94,-254,799,-2747,-273
96,61,-225,681,-2597,-863
42,59,-206,567,-2399,-368
-16,24,-195,377,-2075,-529
-82,5,-176,42,-1301,-311
-91,12,-197,-45,-528,-348
-118,11,-202,-137,-113,-41
-110,13,-216,-169,47,8
-125,11,-209,-103,65,47
-124,10,-211,-93,297,85
-99,24,-215,-151,487,118
-91,24,-220,-198,694,166
-68,25,-200,-151,961,347
-79,24,-216,-394,1645,288
3,42,-220,-538,1994,858
57,58,-195,-489,2362,551
138,97,-232,-513,2374,491
142,83,-218,-596,2307,476
243,128,-228,-161,2290,330
248,119,-230,-206,1589,632
258,91,-210,56,699,261
240,65,-207,-54,163,276
227,73,-175,-2,76,-40
233,68,-172,80,-115,3
241,74,-169,53,-449,35
252,66,-215,-71,-845,-348
254,92,-243,-104,-1522,-462
227,116,-257,198,-2023,-493
182,103,-257,468,-2498,-690
160,115,-243,894,-2594,-755
25,49,-211,761,-2540,-666
8,36,-165,272,-2194,-517
-65,13,-160,146,-1258,-375
-69,15,-192,-84,-522,-394
-85,25,-208,-465,-72,-155
-92,26,-235,-217,41,-76
-100,35,-224,-100,-12,166
-102,25,-225,-22,177,69
-88,36,-226,-110,331,131
-69,32,-210,-50,512,221
-65,45,-216,-171,718,418
-32,33,-185,-100,1181,652
-19,47,-193,-385,1764,694
63,78,-192,-688,2175,845
109,91,-217,-577,2334,873
172,98,-214,-360,2389,740
230,92,-228,25,1944,681
252,130,-219,-757,1805,102
274,109,-209,-481,991,312
319,100,-247,7,378,382
230,63,-191,-44,44,-191
244,92,-157,234,-145,-41
245,75,-181,376,-422,75
239,74,-213,147,-824,-432
265,100,-233,-91,-1334,-309
217,107,-238,183,-1874,-429
190,107,-251,488,-2282,-614
115,80,-237,537,-2397,-1028
118,88,-206,220,-2413,-617
31,47,-188,482,-2069,-770
-49,32,-188,221,-1487,-387
-56,28,-198,56,-708,-322
-75,20,-195,-139,-297,-120
-87,54,-241,-75,-125,-16
-95,28,-224,81,-140,-6
-107,47,-234,36,11,2
-100,26,-221,-30,132,25
-77,36,-216,-72,322,62
-82,29,-208,-40,556,216
-56,34,-215,-122,922,256
-83,35,-212,-553,1519,299
33,40,-170,-646,2046,763
43,81,-211,-620,2518,463
191,108,-201,-613,2396,746
147,113,-188,-612,2254,535
