-13,194,-195,110,51,13
-18,247,-209,1433,103,48
-22,303,-172,10165,674,575
1,-222,-107,7451,734,66
69,-145,-233,1542,321,-895
20,-218,-161,608,168,-934
61,-189,-155,253,47,-456
63,-193,-157,-9,-150,-31
56,-189,-152,-12,-128,-3
55,-181,-171,-124,-41,-54
68,-203,-168,-227,-76,-48
62,-210,-177,-407,-127,56
61,-201,-178,-886,-235,271
51,-146,-190,-2608,-413,469
32,-111,-199,-4233,-775,430
5,37,-246,-4874,-780,263
-11,162,-225,-3866,-673,-189
-35,147,-231,-2085,-362,-189
-30,190,-217,-199,-49,-44
-22,141,-217,-424,72,26
-12,198,-206,-130,25,38
-20,181,-208,503,1,69
-17,105,-209,-754,25,24
-22,217,-205,240,-22,57
-26,127,-205,-97,-10,-8
-23,181,-212,153,7,15
-25,167,-211,51,-9,0
-23,165,-211,126,14,37
-22,168,-213,-151,28,3
-20,176,-211,91,16,6
-24,159,-215,5,61,-5
-24,200,-228,1171,151,53
-44,296,-265,5808,472,2
-23,-24,-36,10717,923,172
5,-91,-306,973,572,-1659
66,-233,-134,987,349,-1033
57,-199,-163,779,287,-514
79,-192,-136,229,87,-130
64,-189,-143,-50,36,16
78,-192,-135,-117,24,42
74,-200,-151,-132,7,68
72,-209,-150,-357,-77,156
76,-209,-158,-866,-212,360
68,-196,-164,-1875,-523,611
28,-152,-195,-4100,-544,528
41,-59,-210,-4890,-790,449
6,109,-211,-4452,-762,-58
-30,133,-256,-1086,-272,-48
-26,159,-246,-1071,-136,-93
-17,168,-230,-1850,-205,-162
-22,190,-210,-273,-131,-75
-28,201,-205,-1087,-108,-105
-23,207,-194,622,-62,80
-30,175,-201,-227,0,21
-23,184,-197,114,4,62
-29,191,-201,-22,40,39
-26,185,-200,53,27,30
-28,186,-201,11,14,25
-25,179,-199,-48,26,17
-24,181,-199,-66,29,15
-27,177,-203,40,58,28
-21,184,-202,-37,66,53
-33,330,-217,3957,183,-198
-7,94,-29,12682,644,788
