TimeStamp,AccXAxis,AccYAxis,AccZAxis,GyroXAxis,GyroYAxis,GyroZAxis
135,16.0,74.0,-235.0,2142.0,275.0,463.0,
136,9.0,32.0,-271.0,1818.0,508.0,163.0,
137,67.0,-30.0,-272.0,1376.0,-222.0,481.0,
138,22.0,-20.0,-292.0,-151.0,-34.0,213.0,
139,40.0,-29.0,-296.0,270.0,-3.0,-98.0,
140,24.0,-25.0,-261.0,-173.0,-79.0,97.0,
141,21.0,-19.0,-257.0,11.0,7.0,126.0,
142,28.0,-23.0,-255.0,-2.0,1.0,61.0,
143,19.0,-23.0,-259.0,-177.0,112.0,32.0,
144,24.0,-24.0,-252.0,2.0,6.0,29.0,
145,22.0,-21.0,-255.0,-25.0,-13.0,31.0,
146,17.0,-19.0,-255.0,-37.0,-7.0,36.0,
147,21.0,-19.0,-256.0,-213.0,28.0,-15.0,
148,15.0,-8.0,-256.0,-284.0,78.0,20.0,
