TimeStamp,AccXAxis,AccYAxis,AccZAxis,GyroXAxis,GyroYAxis,GyroZAxis,,AccXAxisAvg5,AccYAxisAvg5,AccZAxisAvg5,GyroXAxisAvg5,GyroYAxisAvg5,GyroZAxisAvg5,,AccXAxisAvg10,AccYAxisAvg10,AccZAxisAvg10,GyroXAxisAvg10,GyroYAxisAvg10,GyroZAxisAvg10,,AccXAxisAvg15,AccYAxisAvg15,AccZAxisAvg15,GyroXAxisAvg15,GyroYAxisAvg15,GyroZAxisAvg15
43,26,85,-326,520,2382,-149,,107.8,80.4,-197.8,-975.6,1992.2,31.8,,167,85.4,-113.1,-677.8,1319.4,195.9,,183.0769230769,87.4615384615,-86.8461538462,-415,845.6153846154,146.1538461538
44,118,24,-256,-486,2250,-195,,139,84.8,-144.4,-1195.4,1821.4,235.8,,189.3,85.9,-80.9,-710.9,1052.4,204.3,,196.4615384615,86.1538461538,-64.3076923077,-353.8461538462,537.6153846154,146.6153846154
45,107,78,-201,-1344,2161,-20,,159,93.8,-88,-918.6,1543.4,361.8,,201.8,93.4,-57.4,-591.8,773.9,227,,198.9230769231,88.9230769231,-49.2307692308,-223.5384615385,122.0769230769,117.0769230769
46,140,86,-133,-1422,1805,204,,187.6,91.4,-59.8,-622.6,1176.6,398,,212.9,95,-34.6,-408.5,420,226.4,,199.2307692308,89.1538461538,-47.3076923077,-54.8461538462,-209.4615384615,108.2307692308
47,148,129,-73,-2146,1363,319,,210.2,95.6,-39.6,-730.2,911.2,409.2,,218.9,93.2,-24.6,-134.8,77.3,191.7,,195.1538461538,87.8461538462,-54.6923076923,76.2307692308,-503.3846153846,55.3076923077
48,182,107,-59,-579,1528,871,,226.2,90.4,-28.4,-380,646.6,360,,219.1,86.3,-23.3,200.6,-374.2,101.9,,187.6153846154,80.6923076923,-72.2307692308,317.1538461538,-743.7692307692,8.6153846154
49,218,69,26,898,860,435,,239.6,87,-17.4,-226.4,283.4,172.8,,212,83.7,-35,343.4,-741.9,1.3,,176,76.8461538462,-92.4615384615,252.1538461538,-974.2307692308,-78.6923076923
50,250,66,-60,136,327,161,,244.6,93,-26.8,-265,4.4,92.2,,198.9,83.7,-60.5,281.8,-1029.5,-90.6,,160.9230769231,78.2307692308,-115.2307692308,195.4615384615,-1112,-126.6923076923
51,253,107,-32,-1960,478,260,,238.2,98.6,-9.4,-194.4,-336.6,54.8,,178.9,80.7,-84.6,366.8,-1238.4,-135.5,,141.7692307692,79.7692307692,-134.6923076923,212.7692307692,-1180.2307692308,-143.2307692308
52,228,103,-17,-395,40,73,,227.6,90.8,-9.6,460.6,-756.6,-25.8,,156.7,75.7,-113.6,420.4,-1433,-187.9,,121.6153846154,77.4615384615,-153,349.5384615385,-1233.2307692308,-174.8461538462
53,249,90,-4,189,-288,-65,,212,82.2,-18.2,781.2,-1395,-156.2,,136.1,74.1,-138.9,476,-1530.1,-214.1,,104.2307692308,75.1538461538,-172.3076923077,401.5384615385,-1243.6923076923,-188.9230769231
54,243,99,-21,705,-535,32,,184.4,80.4,-52.6,913.2,-1767.2,-170.2,,111.3,73.7,-169.8,493.2,-1557.3,-213,,85.6153846154,73.8461538462,-191.7692307692,366.0769230769,-1226.3846153846,-188.5384615385
55,218,94,27,489,-1378,-26,,153.2,74.4,-94.2,828.6,-2063.4,-273.4,,86.1,71.5,-194.7,404.5,-1524.9,-231.3,,67,72.6153846154,-210.1538461538,326.3076923077,-1185.8461538462,-191.2307692308
56,200,68,-33,1315,-1622,-143,,119.6,62.8,-159.8,928,-2140.2,-325.8,,64.5,69.4,-224.2,383.7,-1396.7,-239.7,,50.3076923077,71.6923076923,-234.3076923077,305,-1067.5384615385,-187.0769230769
57,150,60,-60,1208,-3152,-579,,85.8,60.6,-217.6,380.2,-2109.4,-350,,45.2,69.9,-246.6,225,-1240.8,-231.4,,35.4615384615,72.0769230769,-254.1538461538,218.1538461538,-924.2307692308,-154.9230769231
58,111,81,-176,849,-2149,-135,,60.2,66,-259.6,170.8,-1665.2,-272,,30.3,72.2,-266.6,123,-926.4,-173.8,,24.1538461538,72.8461538462,-274.6923076923,72.6153846154,-620.9230769231,-87.3846153846
